order,name
1,Hudson River
2,Erie Basin
3,Wallabout Bay
4,Gowanus Canal
5,Newtown Creek
6,Bay Ridge Flats
7,Coney Island Creek
8,Upper New York Bay
9,Lower New York Bay
10,Buttermilk Channel
11,Arthur Kill
12,Kill Van Kull
13,East River
14,Harlem River
15,Bronx River
16,Bronx Kill
17,Flushing Bay
18,Flushing Creek
19,Hutchinson River
20,Bushwick Inlet
21,Alley Creek
22,Hammond Creek
23,Westchester Creek
24,Wallabout Bay
25,Littleneck Bay
26,Jamaica Bay
27,Sheepshead Bay
28,Plumb Beach Channel
29,Shellbank Creek
30,Mill Basin
31,Bergen Basin
32,Head of Bay
33,Gerritsen Creek
34,Norton Basin
35,Motts Creek
36,Barbados Basin
37,Paerdergat Basin
38,Thurston Basin
39,Hendrix Creek
